id,positive_taxable_borrowing
11,0
12,0
13,0
14,0
15,0
21,37317.50298854773
22,0
23,0
24,0
25,20671.612021567595
31,0
32,0
33,0
34,0
35,0
41,0
42,0
43,0
44,0
45,0
51,0
52,0
53,0
54,0
55,2756.2149362090126
61,0
62,0
63,0
64,0
65,0
71,0
72,0
73,0
74,1240296.721294056
75,0
81,0
82,0
83,0
84,0
85,0
91,0
92,0
93,0
94,0
95,0
101,0
102,0
103,0
104,0
105,0
111,0
112,0
113,0
114,0
115,0
121,0
122,0
123,0
124,0
125,0
131,0
132,0
133,0
134,0
135,0
141,0
142,0
143,0
144,0
145,68.9053734052253
151,0
152,0
153,0
154,0
155,0
161,0
162,0
163,0
164,0
165,0
171,0
172,0
173,0
174,0
175,0
181,0
182,0
183,0
184,0
185,0
191,0
192,0
193,0
194,0
195,0
201,0
202,0
203,0
204,0
205,0
211,0
212,0
213,0
214,0
215,0
221,0
222,0
223,0
224,0
225,0
231,0
232,0
233,0
234,0
235,0
241,0
242,0
243,0
244,0
245,0
251,7463419.810500266
252,0
253,0
254,8176516.839128927
255,7647963.567723538
261,0
262,0
263,0
264,0
265,0
271,0
272,0
273,6890.537340522532
274,0
275,0
281,0
282,0
283,0
284,0
285,0
291,49611.868851762236
292,4823.376138365772
293,4823.376138365772
294,49611.868851762236
295,68905.37340522531
301,0
302,0
303,0
304,0
305,0
311,0
312,0
313,0
314,0
315,0
321,0
322,0
323,0
324,0
325,0
331,0
332,0
333,0
334,0
335,0
341,0
342,0
343,0
344,0
345,0
351,0
352,0
353,0
354,0
355,0
361,0
362,0
363,0
364,0
365,0
371,0
372,0
373,0
374,0
375,0
381,0
382,117139.13478888304
383,0
384,0
385,0
391,0
392,0
393,34452.68670261266
394,34452.68670261266
395,17226.34335130633
401,0
402,0
403,0
404,0
405,0
411,0
412,0
413,0
414,0
415,0
421,0
422,0
423,0
424,0
425,0
431,0
432,0
433,0
434,0
435,0
441,0
442,0
443,0
444,0
445,68905.37340522531
451,0
452,0
453,0
454,0
455,0
461,0
462,0
463,0
464,0
465,0
471,0
472,0
473,0
474,0
475,0
481,0
482,0
483,0
484,0
485,0
491,0
492,0
493,1747588.116784393
494,1130298.5866093782
495,0
501,0
502,0
503,0
504,0
505,0
511,0
512,0
513,0
514,0
515,34118.28637597828
521,0
522,0
523,0
524,0
525,0
531,0
532,0
533,0
534,0
535,0
541,0
542,0
543,0
544,0
545,0
551,0
552,0
553,0
554,0
555,0
561,0
562,0
563,0
564,0
565,0
571,19293.504553463088
572,0
573,19293.504553463088
574,0
575,0
581,0
582,0
583,0
584,0
585,0
591,0
592,0
593,0
594,0
595,0
601,0
602,0
603,0
604,0
605,0
611,93078.51257822457
612,0
613,0
614,0
615,0
621,0
622,0
623,0
624,0
625,0
631,0
632,0
633,0
634,0
635,0
641,0
642,0
643,0
644,19293.504553463088
645,0
651,0
652,19293.504553463088
653,0
654,0
655,0
661,0
662,0
663,0
664,0
665,0
671,0
672,0
673,0
674,0
675,0
681,0
682,0
683,0
684,0
685,0
691,0
692,0
693,0
694,0
695,0
701,0
702,0
703,0
704,0
705,0
711,0
712,0
713,0
714,0
715,0
721,0
722,0
723,0
724,0
725,0
731,223253.40983293002
732,0
733,0
734,0
735,0
741,0
742,0
743,0
744,0
745,0
751,552852.8794318319
752,0
753,0
754,0
755,0
761,0
762,0
763,0
764,0
765,0
771,0
772,0
773,0
774,0
775,0
781,0
782,0
783,0
784,19293.504553463088
785,0
791,0
792,0
793,0
794,0
795,0
801,0
802,0
803,0
804,0
805,0
811,0
812,0
813,0
814,0
815,37909.207069108015
821,0
822,0
823,0
824,0
825,826.8644808627038
831,0
832,0
833,0
834,0
835,0
841,0
842,0
843,0
844,0
845,0
851,0
852,13324.255896627626
853,49638.647884665035
854,49638.647884665035
855,0
861,0
862,0
863,0
864,0
865,0
871,0
872,454285.11564631696
873,776490.1972064181
874,454285.11564631696
875,7647963.567723538
881,0
882,0
883,0
884,0
885,0
891,0
892,0
893,0
894,0
895,0
901,0
902,0
903,0
904,0
905,0
911,0
912,0
913,0
914,0
915,0
921,0
922,0
923,0
924,0
925,0
931,0
932,0
933,0
934,0
935,0
941,0
942,0
943,0
944,0
945,0
951,0
952,0
953,0
954,0
955,0
961,0
962,0
963,0
964,10090.519081114484
965,0
971,0
972,0
973,0
974,0
975,0
981,0
982,0
983,0
984,0
985,0
991,0
992,0
993,0
994,0
995,0
1001,0
1002,0
1003,0
1004,0
1005,0
1011,0
1012,0
1013,0
1014,0
1015,0
1021,137.8107468104506
1022,0
1023,0
1024,0
1025,0
1031,0
1032,0
1033,0
1034,0
1035,0
1041,0
1042,0
1043,0
1044,0
1045,0
1051,0
1052,0
1053,0
1054,0
1055,0
1061,0
1062,0
1063,0
1064,0
1065,0
1071,0
1072,1791.5397085358582
1073,1791.5397085358582
1074,0
1075,0
1081,0
1082,0
1083,0
1084,0
1085,0
1091,3720890.163882167
1092,0
1093,0
1094,0
1095,0
1101,0
1102,0
1103,0
1104,0
1105,0
1111,0
1112,0
1113,0
1114,0
1115,0
1121,0
1122,0
1123,0
1124,0
1125,0
1131,10335.806010783797
1132,0
1133,0
1134,0
1135,0
1141,0
1142,283.2051349533248
1143,0
1144,0
1145,0
1151,0
1152,0
1153,6987.004863289848
1154,0
1155,0
1161,0
1162,0
1163,4134.322404313519
1164,0
1165,0
1171,0
1172,0
1173,0
1174,0
1175,0
1181,0
1182,0
1183,0
1184,0
1185,0
1191,0
1192,0
1193,0
1194,0
1195,0
1201,0
1202,0
1203,0
1204,0
1205,0
1211,0
1212,0
1213,0
1214,0
1215,0
1221,0
1222,0
1223,0
1224,0
1225,0
1231,0
1232,0
1233,0
1234,0
1235,0
1241,0
1242,0
1243,0
1244,0
1245,0
1251,0
1252,0
1253,0
1254,0
1255,0
1261,0
1262,0
1263,11713.913478888304
1264,0
1265,0
1271,0
1272,0
1273,0
1274,0
1275,0
1281,0
1282,0
1283,0
1284,0
1285,0
1291,0
1292,0
1293,0
1294,0
1295,0
1301,0
1302,0
1303,0
1304,0
1305,0
1311,11713.913478888304
1312,0
1313,0
1314,0
1315,0
1321,0
1322,0
1323,0
1324,0
1325,0
1331,0
1332,0
1333,0
1334,0
1335,0
1341,0
1342,0
1343,0
1344,0
1345,0
1351,0
1352,0
1353,0
1354,0
1355,0
1361,0
1362,0
1363,4749.790060154032
1364,0
1365,0
1371,0
1372,0
1373,0
1374,0
1375,0
1381,26313.43637311546
1382,0
1383,26313.43637311546
1384,0
1385,0
1391,0
1392,0
1393,0
1394,0
1395,0
1401,0
1402,0
1403,0
1404,0
1405,0
1411,0
1412,0
1413,0
1414,0
1415,0
1421,202859.03927031212
1422,0
1423,93078.51257822457
1424,368700.00619912584
1425,0
1431,0
1432,0
1433,0
1434,0
1435,0
1441,0
1442,0
1443,0
1444,0
1445,0
1451,0
1452,0
1453,0
1454,0
1455,0
1461,0
1462,0
1463,0
1464,0
1465,0
1471,0
1472,0
1473,0
1474,205338.01274757143
1475,871.4661952256795
1481,0
1482,0
1483,0
1484,446506.81966586004
1485,0
1491,0
1492,0
1493,0
1494,19293.504553463088
1495,0
1501,0
1502,0
1503,0
1504,0
1505,0
1511,0
1512,0
1513,275621.49362090125
1514,0
1515,0
1521,0
1522,0
1523,0
1524,0
1525,0
1531,0
1532,0
1533,0
1534,0
1535,0
1541,0
1542,0
1543,0
1544,0
1545,0
1551,0
1552,0
1553,0
1554,0
1555,0
1561,895.7698542679291
1562,895.7698542679291
1563,0
1564,0
1565,0
1571,0
1572,0
1573,0
1574,0
1575,0
1581,0
1582,0
1583,0
1584,0
1585,0
1591,0
1592,0
1593,0
1594,0
1595,0
1601,0
1602,0
1603,0
1604,0
1605,0
1611,0
1612,0
1613,0
1614,10335.806010783797
1615,0
1621,0
1622,0
1623,0
1624,0
1625,0
1641,0
1642,0
1643,0
1644,0
1645,0
1651,0
1652,0
1653,0
1654,0
1655,0
1661,0
1662,41477.119173196515
1663,0
1664,41477.119173196515
1665,329809.65138377843
1671,0
1672,0
1673,0
1674,0
1675,0
1681,0
1682,234278.26957776607
1683,0
1684,234278.26957776607
1685,0
1691,0
1692,0
1693,0
1694,0
1695,0
1701,4134.322404313519
1702,0
1703,206.71612021567594
1704,0
1705,0
1711,0
1712,0
1713,6081.0679784546455
1714,0
1715,0
1721,0
1722,0
1723,0
1724,0
1725,0
1731,121711.82284299463
1732,210645.2120996247
1733,0
1734,0
1735,8830885.20164575
1741,0
1742,0
1743,0
1744,0
1745,0
1751,0
1752,0
1753,0
1754,0
1755,0
1761,0
1762,0
1763,0
1764,0
1765,0
1771,0
1772,0
1773,0
1774,0
1775,0
1781,0
1782,0
1783,0
1784,0
1785,0
1791,0
1792,0
1793,0
1794,0
1795,0
1801,0
1802,0
1803,381209.63948134077
1804,0
1805,0
1811,0
1812,0
1813,0
1814,551.2429872418024
1815,0
1821,0
1822,210645.2120996247
1823,0
1824,0
1825,0
1831,0
1832,0
1833,0
1834,0
1835,0
1841,0
1842,792411.7941600912
1843,0
1844,0
1845,0
1851,0
1852,0
1853,0
1854,0
1855,0
1861,0
1862,0
1863,0
1864,0
1865,0
1871,0
1872,0
1873,0
1874,0
1875,0
1881,0
1882,0
1883,0
1884,0
1885,0
1891,0
1892,0
1893,0
1894,0
1895,0
1901,0
1902,11576.102732077854
1903,5788.051366038927
1904,0
1905,0
1911,0
1912,0
1913,0
1914,0
1915,0
1921,0
1922,0
1923,0
1924,0
1925,0
1931,0
1932,0
1933,0
1934,0
1935,0
1941,0
1942,0
1943,0
1944,0
1945,0
1951,0
1952,0
1953,0
1954,0
1955,0
1961,0
1962,0
1963,655254.9957941986
1964,0
1965,0
1971,0
1972,0
1973,0
1974,0
1975,0
1981,0
1982,0
1983,0
1984,0
1985,0
1991,0
1992,0
1993,0
1994,0
1995,0
2001,0
2002,0
2003,0
2004,0
2005,0
2011,0
2012,0
2013,0
2014,0
2015,0
2021,0
2022,0
2023,0
2024,56774.47214796634
2025,0
2031,0
2032,0
2033,0
2034,12402.967212940559
2035,0
2041,1378.1074681045063
2042,0
2043,0
2044,0
2045,0
2051,0
2052,0
2053,0
2054,0
2055,0
2061,20671.612021567595
2062,0
2063,0
2064,0
2065,0
2071,0
2072,0
2073,0
2074,0
2075,0
2081,0
2082,0
2083,0
2084,0
2085,0
2091,0
2092,0
2093,0
2094,0
2095,0
2101,0
2102,0
2103,0
2104,0
2105,0
2111,0
2112,0
2113,0
2114,0
2115,0
2121,0
2122,0
2123,0
2124,0
2125,0
2131,0
